year,level_1,level_2,value
2012,Female Arrested For Rioting,Above 21 Years Old,21
2012,Female Arrested For Rioting,21 Years Old And Below,19
2012,Female Arrested For Rioting,Youths (7 To 19 Years Old),16
2012,Total Persons Arrested For Serious Hurt,Above 21 Years Old,310
2012,Total Persons Arrested For Serious Hurt,21 Years Old And Below,54
2012,Total Persons Arrested For Serious Hurt,Youths (7 To 19 Years Old),38
2012,Male Arrested For Serious Hurt,Above 21 Years Old,275
2012,Male Arrested For Serious Hurt,21 Years Old And Below,50
2012,Male Arrested For Serious Hurt,Youths (7 To 19 Years Old),36
2012,Female Arrested For Serious Hurt,Above 21 Years Old,35
2012,Female Arrested For Serious Hurt,21 Years Old And Below,4
2012,Female Arrested For Serious Hurt,Youths (7 To 19 Years Old),2
2012,Total Persons Arrested For Cheating & Related,Above 21 Years Old,1376
2012,Total Persons Arrested For Cheating & Related,21 Years Old And Below,227
2012,Total Persons Arrested For Cheating & Related,Youths (7 To 19 Years Old),143
2012,Male Arrested For Cheating & Related,Above 21 Years Old,1016
2012,Male Arrested For Cheating & Related,21 Years Old And Below,135
2012,Male Arrested For Cheating & Related,Youths (7 To 19 Years Old),90
2012,Female Arrested For Cheating & Related,Above 21 Years Old,360
2012,Female Arrested For Cheating & Related,21 Years Old And Below,92
2012,Female Arrested For Cheating & Related,Youths (7 To 19 Years Old),53
2013,Total Persons Arrested For Murder,Above 21 Years Old,27
2013,Total Persons Arrested For Murder,21 Years Old And Below,2
2013,Total Persons Arrested For Murder,Youths (7 To 19 Years Old),1
2013,Male Arrested For Murder,Above 21 Years Old,23
2013,Male Arrested For Murder,21 Years Old And Below,2
2013,Male Arrested For Murder,Youths (7 To 19 Years Old),1
2013,Female Arrested For Murder,Above 21 Years Old,4
2013,Female Arrested For Murder,21 Years Old And Below,0
2013,Female Arrested For Murder,Youths (7 To 19 Years Old),0
2013,Total Persons Arrested For Rape,Above 21 Years Old,43
2013,Total Persons Arrested For Rape,21 Years Old And Below,32
2013,Total Persons Arrested For Rape,Youths (7 To 19 Years Old),27
2013,Male Arrested For Rape,Above 21 Years Old,43
2013,Male Arrested For Rape,21 Years Old And Below,32
2013,Male Arrested For Rape,Youths (7 To 19 Years Old),27
2013,Female Arrested For Rape,Above 21 Years Old,0
2013,Female Arrested For Rape,21 Years Old And Below,0
2013,Female Arrested For Rape,Youths (7 To 19 Years Old),0
2013,Total Persons Arrested For Outrage Of Modesty,Above 21 Years Old,663
2013,Total Persons Arrested For Outrage Of Modesty,21 Years Old And Below,118
2013,Total Persons Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),80
2013,Male Arrested For Outrage Of Modesty,Above 21 Years Old,663
2013,Male Arrested For Outrage Of Modesty,21 Years Old And Below,115
2013,Male Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),77
2013,Female Arrested For Outrage Of Modesty,Above 21 Years Old,0
2013,Female Arrested For Outrage Of Modesty,21 Years Old And Below,3
2013,Female Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),3
2013,Total Persons Arrested For Robbery,Above 21 Years Old,153
2013,Total Persons Arrested For Robbery,21 Years Old And Below,94
2013,Total Persons Arrested For Robbery,Youths (7 To 19 Years Old),75
2013,Male Arrested For Robbery,Above 21 Years Old,146
2013,Male Arrested For Robbery,21 Years Old And Below,91
2013,Male Arrested For Robbery,Youths (7 To 19 Years Old),73
2013,Female Arrested For Robbery,Above 21 Years Old,7
2013,Female Arrested For Robbery,21 Years Old And Below,3
2013,Female Arrested For Robbery,Youths (7 To 19 Years Old),2
2013,Total Persons Arrested For Housebreaking,Above 21 Years Old,152
2013,Total Persons Arrested For Housebreaking,21 Years Old And Below,93
2013,Total Persons Arrested For Housebreaking,Youths (7 To 19 Years Old),81
2013,Male Arrested For Housebreaking,Above 21 Years Old,144
2013,Male Arrested For Housebreaking,21 Years Old And Below,85
2013,Male Arrested For Housebreaking,Youths (7 To 19 Years Old),75
2013,Female Arrested For Housebreaking,Above 21 Years Old,8
2013,Female Arrested For Housebreaking,21 Years Old And Below,8
2013,Female Arrested For Housebreaking,Youths (7 To 19 Years Old),6
2013,Total Persons Arrested For Theft Of Motor Vehicle,Above 21 Years Old,41
2013,Total Persons Arrested For Theft Of Motor Vehicle,21 Years Old And Below,66
2013,Total Persons Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),57
2013,Male Arrested For Theft Of Motor Vehicle,Above 21 Years Old,41
2013,Male Arrested For Theft Of Motor Vehicle,21 Years Old And Below,62
2013,Male Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),54
2013,Female Arrested For Theft Of Motor Vehicle,Above 21 Years Old,0
2013,Female Arrested For Theft Of Motor Vehicle,21 Years Old And Below,4
2013,Female Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),3
2013,Total Persons Arrested For Snatch Theft,Above 21 Years Old,53
2013,Total Persons Arrested For Snatch Theft,21 Years Old And Below,32
2013,Total Persons Arrested For Snatch Theft,Youths (7 To 19 Years Old),30
2013,Male Arrested For Snatch Theft,Above 21 Years Old,52
2013,Male Arrested For Snatch Theft,21 Years Old And Below,29
2013,Male Arrested For Snatch Theft,Youths (7 To 19 Years Old),27
2013,Female Arrested For Snatch Theft,Above 21 Years Old,1
2013,Female Arrested For Snatch Theft,21 Years Old And Below,3
2013,Female Arrested For Snatch Theft,Youths (7 To 19 Years Old),3
2013,Total Persons Arrested For Rioting,Above 21 Years Old,300
2013,Total Persons Arrested For Rioting,21 Years Old And Below,349
2013,Total Persons Arrested For Rioting,Youths (7 To 19 Years Old),283
2013,Male Arrested For Rioting,Above 21 Years Old,295
2013,Male Arrested For Rioting,21 Years Old And Below,312
2013,Male Arrested For Rioting,Youths (7 To 19 Years Old),250
2013,Female Arrested For Rioting,Above 21 Years Old,5
2013,Female Arrested For Rioting,21 Years Old And Below,37
2013,Female Arrested For Rioting,Youths (7 To 19 Years Old),33
2013,Total Persons Arrested For Serious Hurt,Above 21 Years Old,350
2013,Total Persons Arrested For Serious Hurt,21 Years Old And Below,56
2013,Total Persons Arrested For Serious Hurt,Youths (7 To 19 Years Old),32
2013,Male Arrested For Serious Hurt,Above 21 Years Old,316
2013,Male Arrested For Serious Hurt,21 Years Old And Below,54
2013,Male Arrested For Serious Hurt,Youths (7 To 19 Years Old),30
2013,Female Arrested For Serious Hurt,Above 21 Years Old,34
2013,Female Arrested For Serious Hurt,21 Years Old And Below,2
2013,Female Arrested For Serious Hurt,Youths (7 To 19 Years Old),2
2013,Total Persons Arrested For Cheating & Related,Above 21 Years Old,1359
2013,Total Persons Arrested For Cheating & Related,21 Years Old And Below,197
2013,Total Persons Arrested For Cheating & Related,Youths (7 To 19 Years Old),134
2013,Male Arrested For Cheating & Related,Above 21 Years Old,993
2013,Male Arrested For Cheating & Related,21 Years Old And Below,120
2013,Male Arrested For Cheating & Related,Youths (7 To 19 Years Old),85
2013,Female Arrested For Cheating & Related,Above 21 Years Old,366
2013,Female Arrested For Cheating & Related,21 Years Old And Below,77
2013,Female Arrested For Cheating & Related,Youths (7 To 19 Years Old),49
2014,Total Persons Arrested For Murder,Above 21 Years Old,23
2014,Total Persons Arrested For Murder,21 Years Old And Below,1
2014,Total Persons Arrested For Murder,Youths (7 To 19 Years Old),0
2014,Male Arrested For Murder,Above 21 Years Old,18
2014,Male Arrested For Murder,21 Years Old And Below,1
2014,Male Arrested For Murder,Youths (7 To 19 Years Old),0
2014,Female Arrested For Murder,Above 21 Years Old,5
2014,Female Arrested For Murder,21 Years Old And Below,0
2014,Female Arrested For Murder,Youths (7 To 19 Years Old),0
2014,Total Persons Arrested For Rape,Above 21 Years Old,59
2014,Total Persons Arrested For Rape,21 Years Old And Below,45
2014,Total Persons Arrested For Rape,Youths (7 To 19 Years Old),32
2014,Male Arrested For Rape,Above 21 Years Old,59
2014,Male Arrested For Rape,21 Years Old And Below,45
